Name,System,Year,Platform,Genre,Publisher,Global_Sales,Critic_Score
Mortal Kombat vs. DC Universe,PLAYSTATION,2008,PS3,Fighting,Midway Games,2,76
Tenchu: Stealth Assassins,PLAYSTATION,1997,PS,Action,Activision,1.99,87
Skate 3,PLAYSTATION,2010,PS3,Sports,Electronic Arts,1.98,80
Need for Speed Rivals,PLAYSTATION,2013,PS4,Racing,Electronic Arts,1.98,80
Spyro: Enter the Dragonfly,PLAYSTATION,2002,PS2,Platform,Universal Interactive,1.97,56
Devil May Cry 2,PLAYSTATION,2003,PS2,Action,Capcom,1.97,68
Hot Shots Golf: Open Tee,PLAYSTATION,2004,PSP,Sports,Sony Computer Entertainment,1.96,81
Forza Horizon,XBOX,2012,X360,Racing,Microsoft Game Studios,1.96,85
Tom Clancy's Rainbow Six: Vegas,XBOX,2006,X360,Shooter,Ubisoft,1.95,88
Crash Nitro Kart,PLAYSTATION,2003,PS2,Racing,Vivendi Games,1.95,69
Resident Evil 6,XBOX,2012,X360,Shooter,Capcom,1.95,67
Grand Theft Auto: San Andreas,XBOX,2005,XB,Action,Take-Two Interactive,1.95,93
NBA Street Vol. 2,PLAYSTATION,2003,PS2,Sports,Electronic Arts,1.95,90
Def Jam Vendetta,PLAYSTATION,2003,PS2,Fighting,Electronic Arts,1.94,80
Burnout Paradise,PLAYSTATION,2008,PS3,Racing,Electronic Arts,1.94,87
The Sims 3,PLAYSTATION,2010,PS3,Simulation,Electronic Arts,1.94,78
FIFA Soccer 09,XBOX,2008,X360,Sports,Electronic Arts,1.94,87
Dragon Ball Z: Budokai 3,PLAYSTATION,2004,PS2,Fighting,Atari,1.94,77
Tom Clancy's Ghost Recon,PLAYSTATION,2002,PS2,Shooter,Ubisoft,1.94,63
BioShock Infinite,XBOX,2013,X360,Shooter,Take-Two Interactive,1.93,93
X-Men Legends,PLAYSTATION,2004,PS2,Role-Playing,Activision,1.93,79
Mortal Kombat vs. DC Universe,XBOX,2008,X360,Fighting,Midway Games,1.93,72
Destiny: The Taken King,PLAYSTATION,2015,PS4,Shooter,Activision,1.93,86
Red Faction,PLAYSTATION,2001,PS2,Shooter,THQ,1.92,88
MX Unleashed,PLAYSTATION,2004,PS2,Racing,THQ,1.92,80
PaRappa The Rapper,PLAYSTATION,1996,PS,Misc,Sony Computer Entertainment,1.92,92
Guitar Hero: World Tour,PLAYSTATION,2008,PS3,Misc,Activision,1.92,84
Need for Speed: Shift,XBOX,2009,X360,Racing,Electronic Arts,1.91,83
Diablo III,PLAYSTATION,2013,PS3,Role-Playing,Activision,1.91,86
LittleBigPlanet 3,PLAYSTATION,2014,PS4,Platform,Sony Computer Entertainment,1.91,79
Madden NFL 09,PLAYSTATION,2008,PS3,Sports,Electronic Arts,1.88,85
