System,Publisher,Sale,Rating,User
XBOX,MTV Games,5.99,80.4,71.8
XBOX,Namco Bandai Games,15.86,67.8409090909091,70.36363636363636
XBOX,Navarre Corp,0.05,56,59
XBOX,Nordic Games,0.06999999999999999,64,63.5
XBOX,NovaLogic,0.34,61,66
XBOX,Phantagram,0.05,74,83
XBOX,Phantom EFX,0.1,44,48
XBOX,Playlogic Game Factory,0.25,43,57.5
XBOX,PopCap Games,0.26,89,82
XBOX,PQube,0.6699999999999999,85.5,86
XBOX,Rage Software,0.26,68.5,74.5
XBOX,Revolution Software,0.02,77,72
XBOX,Rising Star Games,0.9500000000000001,67.25,75
XBOX,SCi,1.33,62,73.83333333333333
XBOX,Sega,28.43,70.67647058823529,73.8529411764706
XBOX,Slightly Mad Studios,0.26,81,58
XBOX,Sold Out,0.01,75,81
XBOX,SouthPeak Games,1.28,53.2,56.8
XBOX,Spike,1.7,69.66666666666667,54.333333333333336
XBOX,Square Enix,15.81,71.875,68.45833333333333
XBOX,Stainless Games,0.02,52,71
XBOX,Success,0.07,46,70
XBOX,Swing! Entertainment,0.14,66,84
XBOX,Takara Tomy,0.09,46,73
XBOX,Take-Two Interactive,111.08,77.19587628865979,71.9278350515464
XBOX,TDK Mediactive,1.35,56.666666666666664,75.66666666666667
XBOX,Tecmo Koei,5.3,61.714285714285715,72.89285714285714
XBOX,Telltale Games,0.05,35,52
XBOX,THQ,40.56,71.16438356164383,73.24657534246575
XBOX,Titus,0.02,30,36
XBOX,Touchstone,0.75,69,71
XBOX,Trion Worlds,0.57,60,72
XBOX,Ubisoft,109.05,71.57364341085271,71.9922480620155
XBOX,Ubisoft Annecy,0.64,68.66666666666667,77.66666666666667
XBOX,Universal Interactive,2.61,61.2,64.6
XBOX,Unknown,0.6900000000000001,55.666666666666664,47
XBOX,Valcon Games,0.08,73,75
XBOX,Valve Software,2.08,95,85
XBOX,Virgin Interactive,0.2,83,83
XBOX,Vivendi Games,5.37,64.2,72.36
XBOX,Wanadoo,0.02,45,75
XBOX,Warner Bros. Interactive Entertainment,34.63,71.74285714285715,71.88571428571429
XBOX,Xicat Interactive,0.03,44,72
XBOX,XS Games,0.25,65.5,71.5
XBOX,Zoo Digital Publishing,0.37,58,73.33333333333333
XBOX,Zushi Games,0.21,68,86
